ORGANIZATION,TOTAL,PREDICTION
PartyA,1343,MEDIUM
PartyD,7037,LOW
PartyD,5000,LOW
PartyB,121,HIGH
PartyD,177,HIGH
PartyD,5856,LOW
PartyD,6265,LOW
PartyA,7910,LOW
PartyA,6781,LOW
PartyB,7464,LOW
PartyB,6018,LOW
PartyC,-1980,VERY HIGH
PartyC,7042,LOW
PartyA,6192,LOW
PartyC,6986,LOW
PartyD,2078,MEDIUM
PartyD,362,HIGH
PartyC,21,HIGH
PartyC,5578,LOW
PartyD,1978,MEDIUM
PartyB,7136,LOW
PartyB,1133,MEDIUM
PartyC,1844,MEDIUM
PartyC,-1540,VERY HIGH
PartyB,-3640,VERY HIGH
PartyA,7502,LOW
PartyC,1597,MEDIUM
PartyC,1838,MEDIUM
PartyD,2188,MEDIUM
PartyA,6636,LOW
PartyC,2490,MEDIUM
PartyB,1924,MEDIUM
PartyA,6350,LOW
PartyD,5558,LOW
PartyA,7050,LOW
PartyB,5816,LOW
PartyD,2476,MEDIUM
PartyC,108,HIGH
PartyB,6608,LOW
PartyA,2151,MEDIUM
PartyC,7173,LOW
PartyC,7132,LOW
PartyA,6168,LOW
PartyA,1940,MEDIUM
PartyC,1270,MEDIUM
PartyB,2448,MEDIUM
PartyA,6328,LOW
PartyD,5569,LOW
PartyC,5208,LOW
PartyC,5134,LOW
PartyD,2180,MEDIUM
PartyB,2374,MEDIUM
PartyC,5560,LOW
PartyB,5537,LOW
PartyD,7284,LOW
PartyB,-400,VERY HIGH
PartyB,5170,LOW
PartyB,6131,LOW
PartyC,2318,MEDIUM
PartyD,5984,LOW
PartyB,-430,VERY HIGH
PartyC,6030,LOW
PartyC,6021,LOW
PartyA,5611,LOW
PartyB,1356,MEDIUM
PartyB,6228,LOW
PartyC,5782,LOW
PartyB,2271,MEDIUM
PartyA,5730,LOW
PartyB,7218,LOW
PartyB,6380,LOW
PartyD,7820,LOW
PartyC,7000,LOW
PartyD,2090,MEDIUM
PartyA,7808,LOW
PartyB,7436,LOW
PartyA,1582,MEDIUM
PartyC,7568,LOW
PartyC,6402,LOW
PartyD,-5940,VERY HIGH
PartyB,1477,MEDIUM
PartyA,1502,MEDIUM
PartyC,1055,MEDIUM
PartyA,5879,LOW
PartyA,1862,MEDIUM
PartyB,7261,LOW
PartyC,1347,MEDIUM
PartyC,2122,MEDIUM
PartyC,1119,MEDIUM
PartyB,5732,LOW
PartyB,1640,MEDIUM
PartyB,136,HIGH
PartyC,2110,MEDIUM
PartyB,1821,MEDIUM
PartyC,5156,LOW
PartyD,6933,LOW
PartyC,5161,LOW
PartyC,1645,MEDIUM
PartyD,1825,MEDIUM
PartyB,1797,MEDIUM
PartyC,7994,LOW
PartyD,5000,LOW
PartyA,7232,LOW
PartyC,6237,LOW
PartyC,1453,MEDIUM
PartyC,6092,LOW
PartyD,1729,MEDIUM
PartyB,7782,LOW
PartyD,-4360,VERY HIGH
PartyD,5668,LOW
PartyA,1740,MEDIUM
PartyB,190,HIGH
PartyB,6544,LOW
PartyA,-120,VERY HIGH
PartyD,1446,MEDIUM
PartyD,2187,MEDIUM
PartyA,6164,LOW
PartyB,6340,LOW
PartyC,6373,LOW
PartyC,5654,LOW
PartyD,5858,LOW
PartyA,1000,MEDIUM
PartyD,7160,LOW
PartyD,2491,MEDIUM
PartyA,7372,LOW
PartyB,2379,MEDIUM
PartyB,5586,LOW
PartyD,5502,LOW
PartyB,-1175,VERY HIGH
PartyA,1483,MEDIUM
PartyB,7628,LOW
PartyA,6782,LOW
PartyD,6903,LOW
PartyA,1534,MEDIUM
PartyA,264,HIGH
PartyB,-220,VERY HIGH
PartyB,1828,MEDIUM
PartyC,5436,LOW
PartyD,1758,MEDIUM
PartyD,1016,MEDIUM
PartyB,5860,LOW
PartyA,440,HIGH
PartyA,6533,LOW
PartyD,6768,LOW
PartyC,7148,LOW
PartyD,252,HIGH
PartyA,-800,VERY HIGH
PartyD,-6980,VERY HIGH
PartyB,6988,LOW
PartyA,7237,LOW
PartyA,5621,LOW
PartyD,126,HIGH
PartyA,1338,MEDIUM
PartyD,6800,LOW
PartyA,1718,MEDIUM
PartyB,-670,VERY HIGH
PartyD,7211,LOW
PartyB,5957,LOW
PartyA,5290,LOW
PartyA,6965,LOW
PartyA,6711,LOW
PartyB,7918,LOW
PartyD,6966,LOW
PartyD,6220,LOW
PartyA,5818,LOW
PartyB,154,HIGH
PartyB,-3100,VERY HIGH
PartyD,97,HIGH
PartyC,2306,MEDIUM
PartyB,-6860,VERY HIGH
PartyB,-2350,VERY HIGH
PartyA,7247,LOW
PartyB,6583,LOW
PartyC,1849,MEDIUM
PartyB,5906,LOW
PartyD,5654,LOW
PartyD,6693,LOW
PartyB,6324,LOW
PartyD,5000,LOW
PartyA,-4080,VERY HIGH
PartyC,5915,LOW
PartyD,2288,MEDIUM
PartyD,1365,MEDIUM
PartyD,5166,LOW
PartyB,6909,LOW
PartyD,6624,LOW
PartyD,5188,LOW
PartyA,-50,VERY HIGH
PartyB,1040,MEDIUM
PartyA,5910,LOW
PartyB,6553,LOW
PartyA,7674,LOW
PartyC,2303,MEDIUM
PartyD,-1240,VERY HIGH
PartyD,5403,LOW
PartyC,1388,MEDIUM
PartyD,1017,MEDIUM
PartyA,7477,LOW
PartyC,2315,MEDIUM
PartyB,62,HIGH
PartyD,-2130,VERY HIGH
PartyA,6462,LOW
PartyD,6918,LOW
PartyB,2094,MEDIUM
PartyB,0,HIGH
PartyC,-240,VERY HIGH
PartyB,1433,MEDIUM
PartyD,6001,LOW
PartyD,43,HIGH
PartyA,7383,LOW
PartyC,-590,VERY HIGH
PartyA,2370,MEDIUM
PartyB,2108,MEDIUM
PartyB,6856,LOW
PartyA,6658,LOW
PartyB,7716,LOW
PartyB,5338,LOW
PartyB,7300,LOW
PartyD,6238,LOW
PartyA,2431,MEDIUM
PartyC,1224,MEDIUM
PartyC,-2780,VERY HIGH
PartyD,141,HIGH
PartyC,7270,LOW
PartyC,1577,MEDIUM
PartyC,2119,MEDIUM
PartyB,6896,LOW
PartyA,2340,MEDIUM
PartyA,159,HIGH
PartyD,-670,VERY HIGH
PartyC,6118,LOW
PartyD,5949,LOW
PartyB,-2225,VERY HIGH
PartyB,6210,LOW
PartyB,6391,LOW
PartyD,5300,LOW
PartyA,5075,LOW
PartyB,1282,MEDIUM
PartyC,1238,MEDIUM
PartyD,6618,LOW
PartyB,6938,LOW
PartyC,1784,MEDIUM
PartyD,7441,LOW
PartyD,1212,MEDIUM
PartyD,2267,MEDIUM
PartyB,5446,LOW
PartyC,1000,MEDIUM
PartyC,6360,LOW
PartyC,1396,MEDIUM
PartyB,0,HIGH
PartyA,1438,MEDIUM
PartyA,6074,LOW
PartyC,2372,MEDIUM
PartyD,6664,LOW
PartyB,5502,LOW
PartyC,2150,MEDIUM
PartyD,2162,MEDIUM
PartyB,6726,LOW
PartyD,7338,LOW
PartyA,2184,MEDIUM
PartyA,6081,LOW
PartyA,2490,MEDIUM
PartyB,1562,MEDIUM
PartyA,122,HIGH
PartyC,6358,LOW
PartyD,6426,LOW
PartyC,5292,LOW
PartyD,5344,LOW
PartyC,190,HIGH
PartyB,-2430,VERY HIGH
PartyA,6475,LOW
PartyA,7266,LOW
PartyA,7694,LOW
PartyC,1709,MEDIUM
PartyB,5268,LOW
PartyD,5290,LOW
PartyB,6330,LOW
PartyA,57,HIGH
PartyC,2066,MEDIUM
PartyB,-2680,VERY HIGH
PartyB,5724,LOW
PartyB,0,HIGH
PartyD,5572,LOW
PartyA,2000,MEDIUM
PartyA,7386,LOW
PartyD,-5520,VERY HIGH
PartyD,6994,LOW
PartyD,5622,LOW
PartyA,1208,MEDIUM
PartyA,2346,MEDIUM
PartyA,188,HIGH
PartyD,7332,LOW
PartyA,2479,MEDIUM
PartyB,5284,LOW
PartyB,6701,LOW
PartyC,2173,MEDIUM
PartyA,5737,LOW
PartyB,7289,LOW
PartyA,1260,MEDIUM
PartyA,53,HIGH
PartyA,6703,LOW
PartyD,7251,LOW
PartyA,5626,LOW
PartyB,6690,LOW
PartyB,7866,LOW
PartyA,-1740,VERY HIGH
PartyD,1828,MEDIUM
PartyB,2214,MEDIUM
PartyA,1374,MEDIUM
PartyA,7226,LOW
PartyB,5618,LOW
PartyB,7430,LOW
PartyB,2204,MEDIUM
PartyA,7344,LOW
PartyC,5394,LOW
PartyB,1009,MEDIUM
PartyA,6762,LOW
PartyC,1405,MEDIUM
PartyB,1556,MEDIUM
PartyB,2222,MEDIUM
PartyA,7458,LOW
PartyC,5633,LOW
PartyA,6830,LOW
PartyA,6810,LOW
PartyD,1021,MEDIUM
PartyA,5356,LOW
PartyD,6928,LOW
PartyA,7495,LOW
PartyB,2206,MEDIUM
PartyD,5846,LOW
PartyD,5774,LOW
PartyC,7786,LOW
PartyD,5882,LOW
PartyA,2026,MEDIUM
PartyA,1747,MEDIUM
PartyB,5479,LOW
PartyA,7118,LOW
PartyB,0,HIGH
PartyB,1830,MEDIUM
PartyA,6490,LOW
PartyB,1228,MEDIUM
PartyB,5748,LOW
PartyA,1382,MEDIUM
PartyC,5960,LOW
PartyA,1608,MEDIUM
PartyC,6923,LOW
PartyB,7479,LOW
PartyC,1718,MEDIUM
PartyC,5930,LOW
PartyD,7385,LOW
PartyB,-1390,VERY HIGH
PartyA,6544,LOW
PartyB,2454,MEDIUM
PartyC,6810,LOW
PartyB,7495,LOW
PartyD,6931,LOW
PartyA,5088,LOW
PartyC,2426,MEDIUM
PartyD,1431,MEDIUM
PartyC,2042,MEDIUM
PartyC,1788,MEDIUM
PartyB,6987,LOW
PartyC,6085,LOW
PartyA,6356,LOW
PartyD,5000,LOW
PartyA,-1290,VERY HIGH
PartyA,-120,VERY HIGH
PartyD,5854,LOW
PartyB,-2820,VERY HIGH
PartyA,7448,LOW
PartyB,2450,MEDIUM
PartyA,1094,MEDIUM
PartyB,5378,LOW
PartyC,2433,MEDIUM
PartyD,2182,MEDIUM
PartyD,-2300,VERY HIGH
PartyC,7454,LOW
PartyB,6823,LOW
PartyC,6116,LOW
PartyC,1586,MEDIUM
PartyC,7474,LOW
PartyA,308,HIGH
PartyA,7398,LOW
PartyD,6886,LOW
PartyD,5116,LOW
PartyA,-120,VERY HIGH
PartyC,1000,MEDIUM
PartyA,2382,MEDIUM
PartyC,6882,LOW
PartyA,-4340,VERY HIGH
PartyD,133,HIGH
PartyD,6844,LOW
PartyC,5060,LOW
PartyA,7057,LOW
PartyA,5076,LOW
PartyD,5424,LOW
PartyA,2241,MEDIUM
PartyC,5090,LOW
PartyD,2304,MEDIUM
PartyC,-3980,VERY HIGH
PartyD,2372,MEDIUM
PartyA,5794,LOW
PartyB,6267,LOW
PartyC,7828,LOW
PartyC,-4620,VERY HIGH
PartyD,5048,LOW
PartyD,7210,LOW
PartyB,0,HIGH
PartyB,1326,MEDIUM
PartyA,7142,LOW
PartyD,1219,MEDIUM
PartyA,1406,MEDIUM
PartyB,6532,LOW
PartyC,7386,LOW
PartyA,5776,LOW
PartyC,-960,VERY HIGH
PartyB,5746,LOW
PartyD,7830,LOW
PartyD,-5260,VERY HIGH
PartyD,7456,LOW
PartyB,2031,MEDIUM
PartyA,5203,LOW
PartyC,5504,LOW
PartyB,6284,LOW
PartyC,-3360,VERY HIGH
PartyD,44,HIGH
PartyD,5661,LOW
PartyB,5562,LOW
PartyB,1601,MEDIUM
PartyC,7206,LOW
PartyA,6016,LOW
PartyC,6439,LOW
PartyB,2335,MEDIUM
PartyB,-4940,VERY HIGH
PartyD,5000,LOW
PartyB,5353,LOW
PartyA,-1630,VERY HIGH
PartyB,1779,MEDIUM
PartyB,5077,LOW
PartyB,6346,LOW
PartyB,5952,LOW
PartyD,5000,LOW
PartyA,7029,LOW
PartyC,1000,MEDIUM
PartyA,398,HIGH
PartyB,-2700,VERY HIGH
PartyA,5470,LOW
PartyC,6442,LOW
PartyC,7368,LOW
PartyA,1074,MEDIUM
PartyB,-1000,VERY HIGH
PartyC,6549,LOW
PartyC,6423,LOW
PartyB,5206,LOW
PartyD,2138,MEDIUM
PartyA,7834,LOW
PartyD,2294,MEDIUM
PartyD,12,HIGH
PartyC,-1450,VERY HIGH
PartyB,1698,MEDIUM
PartyA,1110,MEDIUM
PartyC,5358,LOW
PartyD,5440,LOW
PartyB,7320,LOW
PartyB,1384,MEDIUM
PartyB,6518,LOW
PartyB,5390,LOW
PartyA,7200,LOW
PartyB,5590,LOW
PartyA,-120,VERY HIGH
PartyB,1304,MEDIUM
PartyC,6545,LOW
PartyA,6252,LOW
PartyC,185,HIGH
PartyA,-120,VERY HIGH
PartyA,5834,LOW
PartyD,1426,MEDIUM
PartyB,6549,LOW
PartyA,7338,LOW
PartyD,-1025,VERY HIGH
PartyC,5009,LOW
PartyA,6672,LOW
PartyA,2426,MEDIUM
PartyD,-1510,VERY HIGH
PartyA,5751,LOW
PartyD,5450,LOW
PartyA,-120,VERY HIGH
PartyA,1260,MEDIUM
PartyD,1736,MEDIUM
PartyC,5209,LOW
PartyD,1941,MEDIUM
PartyB,7762,LOW
PartyB,2233,MEDIUM
PartyD,6496,LOW
PartyA,1042,MEDIUM
PartyA,7410,LOW
PartyC,6710,LOW
PartyD,5790,LOW
PartyA,2191,MEDIUM
PartyA,1388,MEDIUM
PartyA,1811,MEDIUM
PartyB,6514,LOW
PartyA,7410,LOW
PartyD,6452,LOW
PartyB,5678,LOW
PartyB,7380,LOW
PartyD,6020,LOW
PartyD,2488,MEDIUM
PartyC,1720,MEDIUM
PartyC,5565,LOW
PartyD,2430,MEDIUM
PartyB,0,HIGH
PartyA,1139,MEDIUM
PartyB,1136,MEDIUM
PartyD,6855,LOW
PartyD,6508,LOW
PartyA,7200,LOW
PartyA,1476,MEDIUM
PartyD,6579,LOW
PartyB,5404,LOW
PartyB,6714,LOW
PartyA,1445,MEDIUM
PartyB,1687,MEDIUM
PartyA,2229,MEDIUM
PartyC,-1160,VERY HIGH
PartyA,1627,MEDIUM
PartyA,2398,MEDIUM
PartyB,5112,LOW
PartyD,1705,MEDIUM
PartyB,1882,MEDIUM
PartyC,40,HIGH
PartyD,1989,MEDIUM
PartyD,6072,LOW
PartyD,1094,MEDIUM
PartyA,1711,MEDIUM
PartyC,-1600,VERY HIGH
PartyC,6036,LOW
PartyB,1756,MEDIUM
PartyC,5985,LOW
PartyB,6556,LOW
PartyA,6772,LOW
PartyD,7325,LOW
PartyC,2236,MEDIUM
PartyB,2412,MEDIUM
PartyD,-2200,VERY HIGH
PartyA,5334,LOW
PartyC,7616,LOW
PartyA,2185,MEDIUM
PartyB,5233,LOW
PartyB,6049,LOW
PartyB,5086,LOW
PartyA,5400,LOW
PartyC,2104,MEDIUM
PartyA,19,HIGH
PartyB,5363,LOW
PartyC,6226,LOW
PartyA,6088,LOW
PartyC,7760,LOW
PartyC,6286,LOW
PartyA,1460,MEDIUM
PartyC,1000,MEDIUM
PartyA,-4160,VERY HIGH
PartyA,5031,LOW
PartyA,5588,LOW
PartyD,1022,MEDIUM
PartyB,5141,LOW
PartyA,-5720,VERY HIGH
PartyB,6414,LOW
PartyC,7732,LOW
PartyB,2391,MEDIUM
PartyD,158,HIGH
PartyC,5631,LOW
PartyB,21,HIGH
PartyC,7124,LOW
PartyD,398,HIGH
PartyA,6690,LOW
PartyA,1869,MEDIUM
PartyD,7026,LOW
PartyA,1032,MEDIUM
PartyD,7429,LOW
PartyA,-740,VERY HIGH
PartyC,6962,LOW
PartyB,1621,MEDIUM
PartyC,6230,LOW
PartyB,6100,LOW
PartyD,1079,MEDIUM
PartyC,5510,LOW
PartyA,2499,MEDIUM
PartyB,6694,LOW
PartyC,1540,MEDIUM
PartyC,6787,LOW
PartyA,6156,LOW
PartyC,2076,MEDIUM
PartyA,-3360,VERY HIGH
PartyC,1714,MEDIUM
PartyD,-1440,VERY HIGH
PartyB,0,HIGH
PartyA,5129,LOW
PartyB,1548,MEDIUM
PartyB,5190,LOW
PartyC,1393,MEDIUM
PartyD,1126,MEDIUM
PartyA,7294,LOW
PartyB,5960,LOW
PartyA,-2380,VERY HIGH
PartyA,-1175,VERY HIGH
PartyB,1480,MEDIUM
PartyC,1316,MEDIUM
PartyB,-850,VERY HIGH
PartyC,5752,LOW
PartyA,-120,VERY HIGH
PartyD,6595,LOW
PartyA,1263,MEDIUM
PartyC,5130,LOW
PartyC,-2180,VERY HIGH
PartyA,6728,LOW
PartyB,7440,LOW
PartyC,-1850,VERY HIGH
PartyC,1382,MEDIUM
PartyB,6170,LOW
PartyA,5360,LOW
PartyA,7710,LOW
PartyA,2395,MEDIUM
PartyD,1920,MEDIUM
PartyA,1100,MEDIUM
PartyA,2288,MEDIUM
PartyD,1882,MEDIUM
PartyB,2249,MEDIUM
PartyA,5343,LOW
PartyC,230,HIGH
PartyA,6600,LOW
PartyB,2128,MEDIUM
PartyD,5966,LOW
PartyB,152,HIGH
PartyB,6163,LOW
PartyD,5120,LOW
PartyD,6214,LOW
PartyA,-650,VERY HIGH
PartyC,5458,LOW
PartyA,6999,LOW
PartyB,1568,MEDIUM
PartyA,2046,MEDIUM
PartyB,1362,MEDIUM
PartyB,1514,MEDIUM
PartyC,6662,LOW
PartyC,-3960,VERY HIGH
PartyD,-1320,VERY HIGH
PartyB,5851,LOW
PartyD,1698,MEDIUM
PartyB,6942,LOW
PartyD,6448,LOW
PartyB,6740,LOW
PartyB,1460,MEDIUM
PartyC,1290,MEDIUM
PartyD,5996,LOW
PartyD,6266,LOW
PartyA,1130,MEDIUM
PartyB,144,HIGH
PartyB,189,HIGH
PartyB,6129,LOW
PartyC,5746,LOW
PartyC,2077,MEDIUM
PartyD,-1050,VERY HIGH
PartyC,5747,LOW
PartyD,2198,MEDIUM
PartyA,6934,LOW
PartyB,7346,LOW
PartyA,7407,LOW
PartyB,2138,MEDIUM
PartyC,-1150,VERY HIGH
PartyC,-700,VERY HIGH
PartyD,386,HIGH
PartyA,5221,LOW
PartyD,-6580,VERY HIGH
PartyB,7348,LOW
PartyD,6521,LOW
PartyC,1602,MEDIUM
PartyD,1278,MEDIUM
PartyC,-1560,VERY HIGH
PartyC,7360,LOW
PartyD,1164,MEDIUM
PartyD,5821,LOW
PartyB,7472,LOW
PartyB,5188,LOW
PartyB,1874,MEDIUM
PartyC,-3240,VERY HIGH
PartyB,6164,LOW
PartyB,5473,LOW
PartyD,-1030,VERY HIGH
PartyC,7374,LOW
PartyA,1924,MEDIUM
PartyD,1560,MEDIUM
PartyC,1690,MEDIUM
PartyB,5764,LOW
PartyC,1218,MEDIUM
PartyC,7766,LOW
PartyB,5922,LOW
PartyB,5070,LOW
PartyA,2430,MEDIUM
PartyC,6982,LOW
PartyA,5900,LOW
PartyC,1876,MEDIUM
PartyD,1327,MEDIUM
PartyB,7636,LOW
PartyC,6563,LOW
PartyB,342,HIGH
PartyD,-920,VERY HIGH
PartyB,80,HIGH
PartyA,1466,MEDIUM
PartyB,6076,LOW
PartyC,7718,LOW
PartyD,175,HIGH
PartyB,7454,LOW
PartyC,7462,LOW
PartyC,7500,LOW
PartyC,5815,LOW
PartyD,6728,LOW
PartyA,6110,LOW
PartyC,1732,MEDIUM
PartyD,-560,VERY HIGH
PartyD,-5860,VERY HIGH
PartyC,7860,LOW
PartyC,7698,LOW
PartyA,7359,LOW
PartyC,7391,LOW
PartyB,1394,MEDIUM
PartyB,6867,LOW
PartyB,7223,LOW
PartyC,1000,MEDIUM
PartyA,-360,VERY HIGH
PartyD,-525,VERY HIGH
PartyA,6232,LOW
PartyA,1897,MEDIUM
PartyB,5287,LOW
PartyA,2091,MEDIUM
PartyB,1051,MEDIUM
PartyD,1126,MEDIUM
PartyC,1248,MEDIUM
PartyC,-2000,VERY HIGH
PartyC,6316,LOW
PartyD,2292,MEDIUM
PartyC,6070,LOW
PartyB,5584,LOW
PartyA,5602,LOW
PartyA,6139,LOW
PartyB,1940,MEDIUM
PartyA,-120,VERY HIGH
PartyC,1914,MEDIUM
PartyB,5426,LOW
PartyA,6028,LOW
PartyD,5827,LOW
PartyD,5120,LOW
PartyB,1070,MEDIUM
PartyD,7234,LOW
PartyA,1124,MEDIUM
PartyD,6575,LOW
PartyD,1750,MEDIUM
PartyA,1894,MEDIUM
PartyB,5761,LOW
PartyB,-950,VERY HIGH
PartyD,5783,LOW
PartyA,82,HIGH
PartyA,2468,MEDIUM
PartyA,5534,LOW
PartyC,1854,MEDIUM
PartyD,5002,LOW
PartyC,2004,MEDIUM
PartyD,2173,MEDIUM
PartyA,-7780,VERY HIGH
PartyC,5370,LOW
PartyB,6054,LOW
PartyD,6173,LOW
PartyB,6853,LOW
PartyA,1138,MEDIUM
PartyB,1481,MEDIUM
PartyA,2429,MEDIUM
PartyA,1858,MEDIUM
PartyA,1369,MEDIUM
PartyA,6291,LOW
PartyC,-5780,VERY HIGH
PartyC,2232,MEDIUM
PartyA,6436,LOW
PartyD,7257,LOW
PartyC,7283,LOW
PartyC,1121,MEDIUM
PartyA,6220,LOW
PartyD,-120,VERY HIGH
PartyB,5700,LOW
PartyD,5277,LOW
PartyC,-710,VERY HIGH
PartyA,-120,VERY HIGH
PartyA,1366,MEDIUM
PartyD,5715,LOW
PartyA,5148,LOW
PartyD,5014,LOW
PartyA,5478,LOW
PartyC,-5840,VERY HIGH
PartyC,7121,LOW
PartyB,7220,LOW
PartyD,2342,MEDIUM
PartyA,6496,LOW
PartyD,7165,LOW
PartyB,5540,LOW
PartyC,-3880,VERY HIGH
PartyD,1424,MEDIUM
PartyD,5697,LOW
PartyB,0,HIGH
PartyC,6217,LOW
PartyC,5251,LOW
PartyC,7798,LOW
PartyD,7088,LOW
PartyA,7083,LOW
PartyC,6005,LOW
PartyB,1740,MEDIUM
PartyB,5660,LOW
PartyA,5872,LOW
PartyA,6440,LOW
PartyC,5601,LOW
PartyC,5400,LOW
PartyB,6430,LOW
PartyD,-3000,VERY HIGH
PartyB,-1690,VERY HIGH
PartyC,5982,LOW
PartyB,1140,MEDIUM
PartyC,7277,LOW
PartyD,2406,MEDIUM
PartyA,2212,MEDIUM
PartyB,6043,LOW
PartyC,-1890,VERY HIGH
PartyD,2441,MEDIUM
PartyD,7952,LOW
PartyD,7366,LOW
PartyC,5062,LOW
PartyA,5682,LOW
PartyB,-370,VERY HIGH
PartyD,1344,MEDIUM
PartyC,5210,LOW
PartyB,2491,MEDIUM
PartyD,6066,LOW
PartyA,-6460,VERY HIGH
PartyA,1022,MEDIUM
PartyA,2307,MEDIUM
PartyB,1166,MEDIUM
PartyB,1694,MEDIUM
PartyB,1486,MEDIUM
PartyA,5010,LOW
PartyD,6424,LOW
PartyC,6807,LOW
PartyD,1963,MEDIUM
PartyB,1507,MEDIUM
PartyD,7104,LOW
PartyA,-120,VERY HIGH
PartyA,-590,VERY HIGH
PartyA,-1010,VERY HIGH
PartyD,-1470,VERY HIGH
PartyA,7802,LOW
PartyC,1356,MEDIUM
PartyC,6495,LOW
PartyA,5386,LOW
PartyC,6886,LOW
PartyB,131,HIGH
PartyD,6949,LOW
PartyD,6092,LOW
PartyB,-2230,VERY HIGH
PartyB,5140,LOW
PartyB,6503,LOW
PartyC,5162,LOW
PartyB,-1650,VERY HIGH
PartyB,0,HIGH
PartyB,6985,LOW
PartyC,6894,LOW
PartyA,1558,MEDIUM
PartyC,7710,LOW
PartyB,127,HIGH
PartyC,7306,LOW
PartyB,6162,LOW
PartyB,6692,LOW
PartyC,-750,VERY HIGH
PartyD,91,HIGH
PartyB,1468,MEDIUM
PartyC,5610,LOW
PartyD,5603,LOW
PartyA,5217,LOW
PartyA,1194,MEDIUM
PartyB,5410,LOW
PartyB,5203,LOW
PartyC,6856,LOW
PartyA,1024,MEDIUM
PartyC,1991,MEDIUM
PartyB,7193,LOW
PartyD,1438,MEDIUM
PartyD,5887,LOW
PartyD,7206,LOW
PartyB,6858,LOW
PartyC,1072,MEDIUM
PartyB,180,HIGH
PartyD,1834,MEDIUM
PartyA,1773,MEDIUM
PartyD,1528,MEDIUM
PartyC,6560,LOW
PartyA,6166,LOW
PartyC,7408,LOW
PartyB,5346,LOW
PartyD,2021,MEDIUM
PartyD,1086,MEDIUM
PartyD,-1840,VERY HIGH
PartyD,1585,MEDIUM
PartyB,5506,LOW
PartyD,-3360,VERY HIGH
PartyD,7252,LOW
PartyA,1276,MEDIUM
PartyC,7433,LOW
PartyD,6732,LOW
PartyD,6011,LOW
PartyA,6366,LOW
PartyB,1731,MEDIUM
PartyC,2331,MEDIUM
PartyA,-5480,VERY HIGH
PartyB,6369,LOW
PartyB,6975,LOW
PartyD,180,HIGH
PartyD,7136,LOW
PartyA,5799,LOW
PartyA,6686,LOW
PartyD,1849,MEDIUM
PartyC,-670,VERY HIGH
PartyA,7212,LOW
PartyC,6547,LOW
PartyA,6836,LOW
PartyB,5217,LOW
PartyA,2419,MEDIUM
PartyD,2259,MEDIUM
PartyA,5858,LOW
PartyD,6893,LOW
PartyA,7884,LOW
PartyD,2308,MEDIUM
PartyC,47,HIGH
PartyD,5300,LOW
PartyD,5482,LOW
PartyA,2286,MEDIUM
PartyC,32,HIGH
PartyC,326,HIGH
PartyA,-4040,VERY HIGH
PartyC,5008,LOW
PartyB,2124,MEDIUM
PartyA,-120,VERY HIGH
PartyD,6856,LOW
PartyB,5401,LOW
PartyA,5106,LOW
PartyD,70,HIGH
PartyD,47,HIGH
PartyB,6897,LOW
PartyA,5824,LOW
PartyD,5540,LOW
PartyC,2123,MEDIUM
PartyA,5742,LOW
PartyB,-6320,VERY HIGH
PartyC,196,HIGH
PartyC,5948,LOW
PartyC,-1340,VERY HIGH
PartyD,1594,MEDIUM
PartyC,7562,LOW
PartyB,2146,MEDIUM
PartyA,2244,MEDIUM
PartyD,1284,MEDIUM
PartyD,5866,LOW
PartyC,5694,LOW
PartyA,5714,LOW
PartyB,6691,LOW
PartyA,6222,LOW
PartyD,312,HIGH
PartyD,5568,LOW
PartyC,-3600,VERY HIGH
PartyC,-640,VERY HIGH
PartyD,5430,LOW
PartyA,1789,MEDIUM
PartyD,5601,LOW
PartyA,5982,LOW
PartyD,6572,LOW
PartyD,5341,LOW
PartyB,6406,LOW
PartyD,6707,LOW
PartyA,1287,MEDIUM
PartyB,6514,LOW
PartyB,7912,LOW
PartyD,5155,LOW
PartyA,-1450,VERY HIGH
PartyC,1622,MEDIUM
PartyD,-6500,VERY HIGH
PartyB,7904,LOW
PartyD,6458,LOW
PartyC,6215,LOW
PartyC,1693,MEDIUM
PartyA,5929,LOW
PartyC,1000,MEDIUM
PartyA,2482,MEDIUM
PartyD,-3920,VERY HIGH
PartyC,-1990,VERY HIGH
PartyB,7492,LOW
PartyA,6102,LOW
PartyA,5525,LOW
PartyB,6440,LOW
PartyC,1173,MEDIUM
PartyB,1766,MEDIUM
PartyA,6998,LOW
PartyA,-875,VERY HIGH
PartyA,6236,LOW
PartyA,-300,VERY HIGH
PartyC,6530,LOW
PartyD,1906,MEDIUM
PartyA,5622,LOW
PartyD,1324,MEDIUM
PartyD,5350,LOW
PartyA,5627,LOW
PartyD,5488,LOW
PartyD,2022,MEDIUM
PartyD,-1000,VERY HIGH
PartyB,5392,LOW
PartyD,2193,MEDIUM
PartyA,1122,MEDIUM
PartyD,55,HIGH
PartyA,6159,LOW
PartyD,7471,LOW
PartyC,5327,LOW
PartyD,6445,LOW
PartyA,1950,MEDIUM
PartyD,5052,LOW
PartyC,2018,MEDIUM
PartyB,5264,LOW
PartyA,1417,MEDIUM
PartyB,6492,LOW
PartyD,-1880,VERY HIGH
PartyD,6534,LOW
PartyA,7025,LOW
PartyD,7408,LOW
PartyC,5672,LOW
PartyA,6372,LOW
PartyA,6261,LOW
PartyD,-1760,VERY HIGH
PartyB,1897,MEDIUM
PartyC,1000,MEDIUM
